time,spatial_ref,ET_m_day
2019-01-01,0,0.0
2019-01-02,0,0.0
2019-01-03,0,0.0
2019-01-04,0,0.0
2019-01-05,0,0.0
2019-01-06,0,0.0
2019-01-07,0,0.0
2019-01-08,0,0.0
2019-01-09,0,0.0
2019-01-10,0,0.0
2019-01-11,0,0.0
2019-01-12,0,0.0
2019-01-13,0,0.0
2019-01-14,0,0.0
2019-01-15,0,0.0
2019-01-16,0,0.0
2019-01-17,0,0.0
2019-01-18,0,0.0
2019-01-19,0,0.0
2019-01-20,0,0.0
2019-01-21,0,0.0
2019-01-22,0,0.0
2019-01-23,0,0.0
2019-01-24,0,0.0
2019-01-25,0,0.0
2019-01-26,0,0.0
2019-01-27,0,0.0
2019-01-28,0,0.0
2019-01-29,0,0.0
2019-01-30,0,0.0
2019-01-31,0,0.0
2019-02-01,0,0.0
2019-02-02,0,0.0
2019-02-03,0,0.0
2019-02-04,0,0.0
2019-02-05,0,0.0
2019-02-06,0,0.0
2019-02-07,0,0.0
2019-02-08,0,0.0
2019-02-09,0,0.0
2019-02-10,0,1.1682099e-06
2019-02-11,0,1.220679e-06
2019-02-12,0,1.1141975e-06
2019-02-13,0,1.2854939e-06
2019-02-14,0,1.2854939e-06
2019-02-15,0,1.2854939e-06
2019-02-17,0,1.2854939e-06
2019-02-18,0,2.7647378e-05
2019-02-19,0,2.6320215e-05
2019-02-20,0,2.6817905e-05
2019-02-21,0,2.3272378e-05
2019-02-22,0,2.391744e-05
2019-02-23,0,2.2961423e-05
2019-02-24,0,2.3021606e-05
2019-02-25,0,2.185571e-05
2019-02-26,0,0.00037633878
2019-02-27,0,0.00034846456
2019-02-28,0,0.00042266515
2019-03-01,0,0.0004393403
2019-03-02,0,0.00044304016
2019-03-03,0,0.0005292014
2019-03-04,0,0.000504821
2019-03-05,0,0.0005250062
2019-03-06,0,0.00077244214
2019-03-07,0,0.0009191151
2019-03-08,0,0.001099375
2019-03-09,0,0.0010023419
2019-03-10,0,0.0010296112
2019-03-11,0,0.0012099291
2019-03-12,0,0.0011490912
2019-03-13,0,0.0009819275
2019-03-14,0,0.0004643241
2019-03-15,0,0.0005272693
2019-03-16,0,0.0004931744
2019-03-17,0,0.0004643488
2019-03-18,0,0.00051142904
2019-03-19,0,0.0004934784
2019-03-20,0,0.0004952408
2019-03-21,0,0.00046928631
2019-03-22,0,0.0008693057
2019-03-23,0,0.00082903483
2019-03-24,0,0.0009862878
2019-03-25,0,0.00094755326
2019-03-26,0,0.00086945447
2019-03-27,0,0.0011160332
2019-03-28,0,0.0011298157
2019-03-29,0,0.0010103588
2019-03-30,0,0.00020932639
2019-03-31,0,0.00021872301
2019-04-01,0,0.00018272302
2019-04-02,0,0.00021287115
2019-04-03,0,0.00023609104
2019-04-04,0,0.00021588118
2019-04-05,0,0.00018378241
2019-04-06,0,0.00022519368
2019-04-07,0,0.00065615674
2019-04-09,0,0.0007065085
2019-04-10,0,0.00081240205
2019-04-11,0,0.0007683226
2019-04-12,0,0.0007047455
2019-04-13,0,0.00074494677
2019-04-14,0,0.00087908184
2019-04-15,0,0.002390304
2019-04-16,0,0.0021727555
2019-04-17,0,0.0019251079
2019-04-18,0,0.0023679037
2019-04-19,0,0.0024745965
2019-04-20,0,0.002595538
2019-04-21,0,0.002577899
2019-04-22,0,0.0022948526
2019-04-23,0,0.00074819755
2019-04-24,0,0.0010672701
2019-04-25,0,0.0011532848
2019-04-26,0,0.0011426983
2019-04-27,0,0.0010392786
2019-04-28,0,0.0012506845
2019-04-29,0,0.0013246938
2019-04-30,0,0.00122602
2019-05-01,0,0.001170831
2019-05-02,0,0.0010649089
2019-05-03,0,0.0010539985
2019-05-04,0,0.0011085741
2019-05-05,0,0.0011736043
2019-05-06,0,0.0011406158
2019-05-07,0,0.001317345
2019-05-08,0,0.0012871436
2019-05-09,0,0.0020701003
2019-05-10,0,0.002586237
2019-05-11,0,0.002342645
2019-05-12,0,0.0023829266
2019-05-13,0,0.002264899
2019-05-14,0,0.002333764
2019-05-15,0,0.002292365
2019-05-16,0,0.0018214631
2019-05-17,0,0.0019021668
2019-05-18,0,0.0019856708
2019-05-19,0,0.0022327912
2019-05-20,0,0.002317606
2019-05-21,0,0.0023504521
2019-05-22,0,0.0021304914
2019-05-23,0,0.0015540904
2019-05-24,0,0.001983984
2019-05-25,0,0.0029248302
2019-05-26,0,0.0028654947
2019-05-27,0,0.0027556184
2019-05-28,0,0.0032508033
2019-05-29,0,0.0028747988
2019-05-30,0,0.0030654739
2019-05-31,0,0.0028836909
2019-06-01,0,0.0030247008
2019-06-02,0,0.0036471747
2019-06-03,0,0.003311
2019-06-04,0,0.0034244913
2019-06-05,0,0.0031753604
2019-06-06,0,0.0035986328
2019-06-07,0,0.0030463296
2019-06-08,0,0.004016642
2019-06-09,0,0.003663747
2019-06-10,0,0.0032636134
2019-06-11,0,0.0026015625
2019-06-12,0,0.0028050335
2019-06-13,0,0.0026704785
2019-06-14,0,0.0024080034
2019-06-15,0,0.0030943782
2019-06-16,0,0.0028553489
2019-06-17,0,0.0030152588
2019-06-18,0,0.0038197995
2019-06-19,0,0.0039921687
2019-06-20,0,0.004066334
2019-06-21,0,0.0040856954
2019-06-22,0,0.0039147534
2019-06-23,0,0.004102426
2019-06-24,0,0.0047028298
2019-06-25,0,0.004735826
2019-06-26,0,0.0045602676
2019-06-27,0,0.0043966975
2019-06-28,0,0.0043604006
2019-06-29,0,0.0043098647
2019-06-30,0,0.004722596
2019-07-01,0,0.00425227
2019-07-02,0,0.0045946995
2019-07-03,0,0.0045358445
2019-07-04,0,0.004727107
2019-07-05,0,0.0048722574
2019-07-06,0,0.0043132147
2019-07-07,0,0.004252237
2019-07-08,0,0.0042562927
2019-07-09,0,0.004212348
2019-07-10,0,0.0044517294
2019-07-11,0,0.004641462
2019-07-12,0,0.0046339985
2019-07-13,0,0.0043339296
2019-07-14,0,0.0042867702
2019-07-15,0,0.0043024737
2019-07-16,0,0.0043392982
2019-07-17,0,0.004560851
2019-07-18,0,0.0044111805
2019-07-19,0,0.0044658855
2019-07-20,0,0.004362273
2019-07-21,0,0.0041385936
2019-07-22,0,0.004721836
2019-07-23,0,0.0042784726
2019-07-24,0,0.0038652208
2019-07-25,0,0.004341196
2019-07-26,0,0.0044121803
2019-07-27,0,0.004088055
2019-07-28,0,0.0034359884
2019-07-29,0,0.0036715542
2019-07-30,0,0.00368563
2019-07-31,0,0.0039219595
2019-08-01,0,0.0038889854
2019-08-02,0,0.003602079
2019-08-03,0,0.0038327633
2019-08-05,0,0.004601296
2019-08-06,0,0.004354049
2019-08-07,0,0.00434721
2019-08-08,0,0.004393142
2019-08-09,0,0.0044431235
2019-08-10,0,0.004531905
2019-08-11,0,0.004350808
2019-08-12,0,0.0042106523
2019-08-13,0,0.0034860456
2019-08-14,0,0.0037444797
2019-08-15,0,0.0037645258
2019-08-17,0,0.003943639
2019-08-18,0,0.0037521815
2019-08-19,0,0.0037651306
2019-08-20,0,0.0037214693
2019-08-21,0,0.0036549007
2019-08-22,0,0.0036383464
2019-08-23,0,0.003689079
2019-08-24,0,0.0039718198
2019-08-25,0,0.0038811879
2019-08-26,0,0.004046338
2019-08-28,0,0.0038138507
2019-08-29,0,0.0026966874
2019-08-30,0,0.0027101862
2019-08-31,0,0.0023297062
2019-09-01,0,0.0026654885
2019-09-02,0,0.0025815465
2019-09-03,0,0.0026720085
2019-09-04,0,0.0027758575
2019-09-05,0,0.0026225664
2019-09-06,0,0.0018625378
2019-09-07,0,0.0018977749
2019-09-08,0,0.0019283621
2019-09-09,0,0.0019014361
2019-09-10,0,0.0015866475
2019-09-11,0,0.0015671792
2019-09-12,0,0.0017048875
2019-09-13,0,0.0013482216
2019-09-14,0,0.0023814864
2019-09-15,0,0.002267812
2019-09-16,0,0.0021149197
2019-09-17,0,0.0021681767
2019-09-19,0,0.0022044785
2019-09-20,0,0.002145778
2019-09-21,0,0.0023401692
2019-09-22,0,0.0007001798
2019-09-23,0,0.0007405154
2019-09-24,0,0.00074955786
2019-09-25,0,0.00068041903
2019-09-26,0,0.0006797408
2019-09-27,0,0.00058551156
2019-09-28,0,0.000730514
2019-09-29,0,0.0006012446
2019-09-30,0,0.00046568524
2019-10-01,0,0.0004600486
2019-10-02,0,0.0005611836
2019-10-03,0,0.000494804
2019-10-04,0,0.00051500543
2019-10-05,0,0.000523588
2019-10-06,0,0.00056523684
2019-10-07,0,0.0005531474
2019-10-08,0,0.0018378311
2019-10-09,0,0.0018837439
2019-10-10,0,0.001684767
2019-10-11,0,0.0017697447
2019-10-12,0,0.0015735225
2019-10-13,0,0.0016114393
2019-10-14,0,0.0015518635
2019-10-15,0,0.0014778674
2019-10-16,0,0.00047075615
2019-10-17,0,0.00043448847
2019-10-18,0,0.0004353403
2019-10-19,0,0.00041052548
2019-10-20,0,0.00042946145
2019-10-21,0,0.00041214583
2019-10-22,0,0.00041044218
2019-10-23,0,0.00032570682
2019-10-24,0,0.00015436573
2019-10-25,0,0.00015314814
2019-10-26,0,0.00015459569
2019-10-27,0,0.00016298534
2019-10-28,0,0.00016522068
2019-10-29,0,0.00015352393
2019-10-30,0,0.00016465432
2019-10-31,0,0.00016779554
2019-11-01,0,0.0
2019-11-02,0,0.0
2019-11-03,0,0.0
2019-11-04,0,0.0
2019-11-05,0,0.0
2019-11-06,0,0.0
2019-11-07,0,0.0
2019-11-08,0,0.0
2019-11-09,0,0.0
2019-11-10,0,0.0
2019-11-11,0,0.0
2019-11-12,0,0.0
2019-11-13,0,0.0
2019-11-14,0,0.0
