time,spatial_ref,ET_mm_day
2019-01-01,0,0.0
2019-01-02,0,0.0
2019-01-03,0,0.0
2019-01-04,0,0.0
2019-01-05,0,0.0
2019-01-06,0,0.0
2019-01-07,0,0.0
2019-01-08,0,0.0
2019-01-09,0,0.0
2019-01-10,0,0.0
2019-01-11,0,0.0
2019-01-12,0,0.0
2019-01-13,0,0.0
2019-01-14,0,0.0
2019-01-15,0,0.0
2019-01-16,0,0.0
2019-01-17,0,0.0
2019-01-18,0,0.0
2019-01-19,0,0.0
2019-01-20,0,0.0
2019-01-21,0,0.0
2019-01-22,0,0.0
2019-01-23,0,0.0
2019-01-24,0,0.0
2019-01-25,0,0.0
2019-01-26,0,0.0
2019-01-27,0,0.0
2019-01-28,0,0.0
2019-01-29,0,0.0
2019-01-30,0,0.0
2019-01-31,0,0.0
2019-02-01,0,0.0
2019-02-02,0,0.0
2019-02-03,0,0.0
2019-02-04,0,0.0
2019-02-05,0,0.0
2019-02-06,0,0.0
2019-02-07,0,0.0
2019-02-08,0,0.0
2019-02-09,0,0.0
2019-02-10,0,0.00116821
2019-02-11,0,0.001220679
2019-02-12,0,0.0011141975
2019-02-13,0,0.001285494
2019-02-14,0,0.001285494
2019-02-15,0,0.001285494
2019-02-17,0,0.001285494
2019-02-18,0,0.027647378
2019-02-19,0,0.026320215
2019-02-20,0,0.026817905
2019-02-21,0,0.023272378
2019-02-22,0,0.02391744
2019-02-23,0,0.022961423
2019-02-24,0,0.023021607
2019-02-25,0,0.02185571
2019-02-26,0,0.37633878
2019-02-27,0,0.34846455
2019-02-28,0,0.42266515
2019-03-01,0,0.4393403
2019-03-02,0,0.44304016
2019-03-03,0,0.5292014
2019-03-04,0,0.504821
2019-03-05,0,0.52500623
2019-03-06,0,0.77244216
2019-03-07,0,0.91911507
2019-03-08,0,1.099375
2019-03-09,0,1.0023419
2019-03-10,0,1.0296112
2019-03-11,0,1.2099291
2019-03-12,0,1.1490911
2019-03-13,0,0.98192745
2019-03-14,0,0.46432412
2019-03-15,0,0.5272693
2019-03-16,0,0.49317443
2019-03-17,0,0.4643488
2019-03-18,0,0.511429
2019-03-19,0,0.4934784
2019-03-20,0,0.49524078
2019-03-21,0,0.46928632
2019-03-22,0,0.8693057
2019-03-23,0,0.8290348
2019-03-24,0,0.98628783
2019-03-25,0,0.9475533
2019-03-26,0,0.86945444
2019-03-27,0,1.1160332
2019-03-28,0,1.1298157
2019-03-29,0,1.0103588
2019-03-30,0,0.20932639
2019-03-31,0,0.21872301
2019-04-01,0,0.18272302
2019-04-02,0,0.21287115
2019-04-03,0,0.23609105
2019-04-04,0,0.21588118
2019-04-05,0,0.18378241
2019-04-06,0,0.22519368
2019-04-07,0,0.6561567
2019-04-09,0,0.7065085
2019-04-10,0,0.81240207
2019-04-11,0,0.7683226
2019-04-12,0,0.7047455
2019-04-13,0,0.7449468
2019-04-14,0,0.87908185
2019-04-15,0,2.390304
2019-04-16,0,2.1727555
2019-04-17,0,1.925108
2019-04-18,0,2.3679037
2019-04-19,0,2.4745965
2019-04-20,0,2.5955381
2019-04-21,0,2.577899
2019-04-22,0,2.2948527
2019-04-23,0,0.74819756
2019-04-24,0,1.06727
2019-04-25,0,1.1532848
2019-04-26,0,1.1426983
2019-04-27,0,1.0392786
2019-04-28,0,1.2506845
2019-04-29,0,1.3246938
2019-04-30,0,1.2260201
2019-05-01,0,1.1708311
2019-05-02,0,1.064909
2019-05-03,0,1.0539985
2019-05-04,0,1.1085742
2019-05-05,0,1.1736042
2019-05-06,0,1.1406158
2019-05-07,0,1.3173449
2019-05-08,0,1.2871436
2019-05-09,0,2.0701003
2019-05-10,0,2.586237
2019-05-11,0,2.3426452
2019-05-12,0,2.3829267
2019-05-13,0,2.264899
2019-05-14,0,2.333764
2019-05-15,0,2.292365
2019-05-16,0,1.8214631
2019-05-17,0,1.9021667
2019-05-18,0,1.9856707
2019-05-19,0,2.2327912
2019-05-20,0,2.317606
2019-05-21,0,2.3504522
2019-05-22,0,2.1304915
2019-05-23,0,1.5540904
2019-05-24,0,1.9839839
2019-05-25,0,2.9248302
2019-05-26,0,2.8654947
2019-05-27,0,2.7556183
2019-05-28,0,3.2508032
2019-05-29,0,2.8747988
2019-05-30,0,3.0654738
2019-05-31,0,2.8836908
2019-06-01,0,3.0247009
2019-06-02,0,3.6471746
2019-06-03,0,3.311
2019-06-04,0,3.4244912
2019-06-05,0,3.1753604
2019-06-06,0,3.5986328
2019-06-07,0,3.0463295
2019-06-08,0,4.016642
2019-06-09,0,3.663747
2019-06-10,0,3.2636135
2019-06-11,0,2.6015625
2019-06-12,0,2.8050334
2019-06-13,0,2.6704786
2019-06-14,0,2.4080033
2019-06-15,0,3.0943782
2019-06-16,0,2.8553488
2019-06-17,0,3.0152588
2019-06-18,0,3.8197994
2019-06-19,0,3.9921687
2019-06-20,0,4.0663342
2019-06-21,0,4.0856953
2019-06-22,0,3.9147534
2019-06-23,0,4.102426
2019-06-24,0,4.70283
2019-06-25,0,4.735826
2019-06-26,0,4.5602674
2019-06-27,0,4.3966975
2019-06-28,0,4.3604007
2019-06-29,0,4.3098645
2019-06-30,0,4.722596
2019-07-01,0,4.2522697
2019-07-02,0,4.5946994
2019-07-03,0,4.5358443
2019-07-04,0,4.727107
2019-07-05,0,4.872257
2019-07-06,0,4.313215
2019-07-07,0,4.252237
2019-07-08,0,4.256293
2019-07-09,0,4.212348
2019-07-10,0,4.4517293
2019-07-11,0,4.6414623
2019-07-12,0,4.6339984
2019-07-13,0,4.3339295
2019-07-14,0,4.2867703
2019-07-15,0,4.3024735
2019-07-16,0,4.3392982
2019-07-17,0,4.560851
2019-07-18,0,4.4111805
2019-07-19,0,4.4658856
2019-07-20,0,4.362273
2019-07-21,0,4.1385937
2019-07-22,0,4.721836
2019-07-23,0,4.2784724
2019-07-24,0,3.8652208
2019-07-25,0,4.3411956
2019-07-26,0,4.4121804
2019-07-27,0,4.0880547
2019-07-28,0,3.4359884
2019-07-29,0,3.671554
2019-07-30,0,3.6856298
2019-07-31,0,3.9219594
2019-08-01,0,3.8889854
2019-08-02,0,3.6020792
2019-08-03,0,3.8327632
2019-08-05,0,4.601296
2019-08-06,0,4.354049
2019-08-07,0,4.34721
2019-08-08,0,4.393142
2019-08-09,0,4.4431233
2019-08-10,0,4.531905
2019-08-11,0,4.350808
2019-08-12,0,4.2106524
2019-08-13,0,3.4860456
2019-08-14,0,3.7444797
2019-08-15,0,3.7645257
2019-08-17,0,3.943639
2019-08-18,0,3.7521815
2019-08-19,0,3.7651308
2019-08-20,0,3.7214694
2019-08-21,0,3.6549008
2019-08-22,0,3.6383464
2019-08-23,0,3.689079
2019-08-24,0,3.9718199
2019-08-25,0,3.881188
2019-08-26,0,4.046338
2019-08-28,0,3.8138506
2019-08-29,0,2.6966875
2019-08-30,0,2.7101862
2019-08-31,0,2.3297062
2019-09-01,0,2.6654885
2019-09-02,0,2.5815465
2019-09-03,0,2.6720085
2019-09-04,0,2.7758574
2019-09-05,0,2.6225665
2019-09-06,0,1.8625379
2019-09-07,0,1.8977748
2019-09-08,0,1.928362
2019-09-09,0,1.9014361
2019-09-10,0,1.5866475
2019-09-11,0,1.5671792
2019-09-12,0,1.7048875
2019-09-13,0,1.3482215
2019-09-14,0,2.3814864
2019-09-15,0,2.267812
2019-09-16,0,2.1149197
2019-09-17,0,2.1681767
2019-09-19,0,2.2044785
2019-09-20,0,2.145778
2019-09-21,0,2.3401692
2019-09-22,0,0.70017976
2019-09-23,0,0.7405154
2019-09-24,0,0.74955785
2019-09-25,0,0.680419
2019-09-26,0,0.6797408
2019-09-27,0,0.58551157
2019-09-28,0,0.730514
2019-09-29,0,0.6012446
2019-09-30,0,0.46568525
2019-10-01,0,0.46004862
2019-10-02,0,0.56118363
2019-10-03,0,0.494804
2019-10-04,0,0.5150054
2019-10-05,0,0.523588
2019-10-06,0,0.56523687
2019-10-07,0,0.5531474
2019-10-08,0,1.8378311
2019-10-09,0,1.8837439
2019-10-10,0,1.684767
2019-10-11,0,1.7697446
2019-10-12,0,1.5735224
2019-10-13,0,1.6114392
2019-10-14,0,1.5518636
2019-10-15,0,1.4778674
2019-10-16,0,0.47075614
2019-10-17,0,0.43448848
2019-10-18,0,0.43534032
2019-10-19,0,0.41052547
2019-10-20,0,0.42946145
2019-10-21,0,0.41214582
2019-10-22,0,0.41044217
2019-10-23,0,0.3257068
2019-10-24,0,0.15436573
2019-10-25,0,0.15314814
2019-10-26,0,0.15459569
2019-10-27,0,0.16298534
2019-10-28,0,0.16522068
2019-10-29,0,0.15352392
2019-10-30,0,0.16465433
2019-10-31,0,0.16779554
2019-11-01,0,0.0
2019-11-02,0,0.0
2019-11-03,0,0.0
2019-11-04,0,0.0
2019-11-05,0,0.0
2019-11-06,0,0.0
2019-11-07,0,0.0
2019-11-08,0,0.0
2019-11-09,0,0.0
2019-11-10,0,0.0
2019-11-11,0,0.0
2019-11-12,0,0.0
2019-11-13,0,0.0
2019-11-14,0,0.0
2019-11-15,0,0.0
2019-11-16,0,0.0
2019-11-17,0,0.0
2019-11-18,0,0.0
2019-11-19,0,0.0
2019-11-20,0,0.0
2019-11-21,0,0.0
2019-11-22,0,0.0
2019-11-23,0,0.0
2019-11-24,0,0.0
2019-11-25,0,0.0
2019-11-26,0,0.0
2019-11-27,0,0.0
2019-11-28,0,0.0
2019-11-29,0,0.0
2019-11-30,0,0.0
2019-12-01,0,0.0
2019-12-02,0,0.0
2019-12-03,0,0.0
2019-12-04,0,0.0
2019-12-05,0,0.0
