time,spatial_ref,ET_mm_month
2019-01-01,0,0.0
2019-02-01,0,1.3519276
2019-03-01,0,22.709686
2019-04-01,0,34.279793
2019-05-01,0,64.48939
2019-06-01,0,109.3914
2019-07-01,0,133.3668
2019-08-01,0,107.16559
2019-09-01,0,48.670704
2019-10-01,0,21.66895
2019-11-01,0,0.0
2019-12-01,0,0.0
2020-01-01,0,0.011530093
2020-02-01,0,0.87630564
2020-03-01,0,6.939568
2020-04-01,0,45.352173
2020-05-01,0,66.85968
2020-06-01,0,101.81375
2020-07-01,0,125.94304
2020-08-01,0,103.9184
2020-09-01,0,54.094643
2020-10-01,0,4.0159554
2020-11-01,0,0.05673843
2020-12-01,0,0.0008858025
2021-01-01,0,0.28465587
2021-02-01,0,1.2799708
2021-03-01,0,11.806454
2021-04-01,0,32.752808
2021-05-01,0,83.14899
2021-06-01,0,95.69714
2021-07-01,0,130.85458
2021-08-01,0,108.05772
2021-09-01,0,56.48199
2021-10-01,0,19.243893
2021-11-01,0,3.768417
2021-12-01,0,0.0
2022-01-01,0,0.030732255
2022-02-01,0,0.07053086
2022-03-01,0,10.236082
2022-04-01,0,39.381496
2022-05-01,0,80.18296
2022-06-01,0,96.2412
2022-07-01,0,110.688644
2022-08-01,0,101.97002
2022-09-01,0,62.160393
2022-10-01,0,9.192695
2022-11-01,0,0.0
2022-12-01,0,0.0070941364
2023-01-01,0,0.0
