Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.017200,0.000000,0
Solver,18.146400,84.961611,1.54175e+09
Richards Exclude 1st Time Step,14.483200,97.774851,1.41609e+09
Solver Cleanup,0.008500,0.000000,0
Matvec,1.104400,442.565331,4.88769e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.020600,0.000000,0
CLM,0.000100,0.000000,0
PFSOL Read,0.000100,0.000000,0
Clustering,0.771800,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.834400,0.000000,0
SubsrfSim,0.001300,0.000000,0
Porosity,0.000400,0.000000,0
PhaseRelPerm,6.216500,0.000241,1498
MGSemi,1.901800,579.001935,1.10115e+09
NL_F_Eval,4.813100,0.000107,514
KINSol,17.089700,90.215005,1.54175e+09
Total Runtime,18.207200,-nan,0
