Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.005900,0.000000,0
Solver,0.319900,1.348578,431410
Richards Exclude 1st Time Step,0.281700,1.512361,426032
Solver Cleanup,0.000300,0.000000,0
Matvec,0.000700,178.285714,124800
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.152600,0.000000,0
CLM,0.000300,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.030000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.006200,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.006100,0.267213,1630
PFMG,0.006500,0.000000,0
HYPRE_Copies,0.002300,0.000000,0
NL_F_Eval,0.015500,0.026194,406
KINSol,0.123900,2.665133,330210
Total Runtime,0.337700,-nan,0
