time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day,ET_cap_m_day,ET_no_cap_m_day,SSEBop_ET_m_day
2003-10-01,5376510652.436926,1146504451.2415946,5597083000.0,2.6252493420102176,0.5598166265828098,2.719032714242056
2003-10-02,5210947199.100816,1227500705.4182944,5710411000.0,2.5444078120609452,0.5993655788175266,2.7740868450168943
2003-10-03,7315611799.797326,1553465146.257218,5034090000.0,3.572076074119788,0.7585279034459071,2.445533753285201
2003-10-04,6658975943.748224,3108541764.094161,5572423000.0,3.2514530975333127,1.517842658249102,2.7070530193307585
2003-10-05,6277167595.517554,4331752543.307125,5282571300.0,3.0650232399988058,2.115113546536682,2.566244627784899
2003-10-06,6496965041.34676,2783764460.563215,4759498000.0,3.1723462115950976,1.3592599905093823,2.3121384416435555
2003-10-07,6652714088.257105,1476463030.4852517,4308567600.0,3.2483955509067894,0.7209292141041268,2.0930788869708348
2003-10-08,6598050497.21983,1188172934.1695971,3955186200.0,3.22170434434562,0.5801625655124986,1.9214081100313722
2003-10-09,14267330620.63429,14010916869.893112,3759459300.0,6.966470029606588,6.841268002877496,1.8263250383389955
2003-10-10,6693441805.010546,6568653405.006566,3488449300.0,3.2682821313528057,3.207350295413362,1.6946698429654876
2003-10-11,6036259388.841127,5143643378.671846,3698813000.0,2.9473922797075818,2.5115446184921124,1.7968633931038367
2003-10-12,6516067335.184896,4750431416.317838,4240484600.0,3.18167350350825,2.3195465899989443,2.0600045330111487
2003-10-14,5459371678.288986,2679366732.417267,4122300200.0,2.665708827289544,1.3082845373131187,2.0025911893260417
2003-10-15,4885841114.113222,2085806625.918442,3546487300.0,2.3856646065005966,1.0184602665617393,1.722864390137502
2003-10-16,6433333267.365512,2589307125.2236266,32061000.0,3.1412760094558165,1.264310119738099,0.01557506076849576
2003-10-17,4859221704.700008,1583681870.3060489,35307004.0,2.372666847998051,0.7732821632353755,0.01715195199318558
2003-10-18,5154053802.840446,1519018108.278071,35897000.0,2.5166278334181866,0.7417080606826518,0.017438568865808687
2003-10-19,5856845442.602135,1545613117.383213,31139002.0,2.8597878137705735,0.754693904972272,0.015127159116069712
2003-10-20,6056704428.495813,1304039067.2177658,31455002.0,2.9573752092264716,0.6367378257899247,0.015280670210634593
2003-10-21,5565465169.660147,1043776983.1477966,30520002.0,2.7175122898731185,0.5096567300526351,0.014826452256779643
2003-10-22,5379525389.558702,799773243.0617989,30576004.0,2.62672138162046,0.390514278838769,0.014853657726139842
2003-10-23,5068656072.290968,715304008.8653463,27839000.0,2.4749297227983242,0.3492695355787824,0.013524035954404214
2003-10-24,5597237825.596442,641406716.0218003,24791002.0,2.733026282029513,0.3131868730575197,0.01204333497588659
2003-10-25,3813339589.756644,378371793.2918722,23448000.0,1.8619822215608612,0.18475185219329698,0.011390911852396638
2003-10-26,3365747236.5607166,438158768.73342097,18758000.0,1.6434312678519125,0.2139447112956157,0.00911253516407609
2003-10-27,3491792697.3000298,450565111.6738112,18758000.0,1.7049769029785302,0.22000249593447813,0.00911253516407609
2003-10-28,3203539435.651071,404495229.0009886,18758000.0,1.5642282400639995,0.19750743603563897,0.00911253516407609
2003-10-29,3864480118.2036924,505768974.4944149,20768002.0,1.8869531827166468,0.24695750707735104,0.010088983287802673
2003-10-30,5472005462.162432,547561896.2492218,24566002.0,2.6718776670714997,0.26736420715294035,0.011934031190199569
2003-11-01,4571457428.062071,2303026795.145145,29938004.0,2.232156947295933,1.1245248023169654,0.014543720769391758
2003-11-02,4377368672.586545,1581340507.5034685,25677002.0,2.1373870471613987,0.7721389196794279,0.012473748994191921
2003-11-03,5197270402.636075,1565443565.336253,29280002.0,2.537729688787146,0.7643767408868423,0.0142240669489934
2003-11-04,4662060772.80935,1573245237.9788795,30611002.0,2.2763968617233155,0.7681861513568747,0.014870659565657505
2003-11-05,2343533344.1284385,520294413.24380016,22077002.0,1.144303390687714,0.2540500064666993,0.010724888423199602
2003-11-06,2338861236.2943535,810774575.676752,25892002.0,1.1420220880343523,0.39588602327966405,0.012578194833848406
2003-11-08,1657622472.156659,1483500708.9249954,26121002.0,0.8093859727327436,0.724365580529783,0.012689441797947641
2003-11-09,2487977922.23598,2381501647.625454,608106000.0,1.2148329698417872,1.1628426013796163,0.2954146128844042
2003-11-10,2619559085.196987,2332759315.5253234,610361000.0,1.2790815845688415,1.1390426345338494,0.29651007971428966
2003-11-11,3436983902.551646,3064727083.2583556,607043000.0,1.678214796167796,1.496448771122244,0.2948982132213584
2003-11-12,2332930887.163801,1662082175.6598601,504534000.0,1.1391264097479499,0.8115635623339161,0.2450998942569552
2003-11-13,2332396153.535546,1324897429.7633908,517001020.0,1.1388653093435281,0.6469225731266557,0.25115630528911426
2003-11-14,6390385626.163957,5975233573.947898,573327000.0,3.1203054815253695,2.917594518529247,0.2785191623848092
2003-11-15,2961630441.9657135,2970973187.5164356,564950000.0,1.446108614241071,1.4506705017170096,0.2744496609950307
2003-11-16,2369143088.467004,2346943604.4536963,449378020.0,1.1568081486655293,1.1459685568621563,0.21830541684683272
2003-11-17,6699237340.365112,6690365653.619364,1141370000.0,3.2711119826001527,3.26678010430633,0.5544713860870842
2003-11-18,2987282157.4028664,2884611793.776107,1287664000.0,1.4586338659193683,1.4085018524297397,0.6255402217461815
2003-11-19,2589520048.4095087,2587760181.389679,1346819100.0,1.2644140861374553,1.2635547760691792,0.654277450069267
2003-11-20,3136187219.6774836,2989632876.583164,1375219000.0,1.5313414158581462,1.459781678019123,0.6680739682165239
2003-11-21,2591081805.334691,2406976914.9546275,1142016100.0,1.2651766627610797,1.1752816967551891,0.554785257980117
2003-11-22,2012685788.68655,1835597637.8028367,944819000.0,0.9827567327571044,0.8962879090834164,0.4589879710623311
2003-11-23,2046716444.9818292,1614175395.3384075,1162967000.0,0.9993732641512838,0.7881715797550818,0.5649630921292289
2003-11-24,1241249707.9111636,1027893466.4545467,1256691000.0,0.6060789589409978,0.5019011066672592,0.6104937055058078
2003-11-25,2185893426.5530167,1736638187.8125434,22495000.0,1.06733077468409,0.8479678651428435,0.010927949595686727
2003-11-26,1921741843.225623,1610934108.7029204,22225000.0,0.9383505093875112,0.7865889202650979,0.010796785052862303
2003-11-27,1493975431.1621757,1111329591.0226312,19707002.0,0.7294801909971561,0.5426414018665191,0.009573555213962992
2003-11-28,1524406428.705799,1120509666.139953,21336000.0,0.7443390765165034,0.5471238604198989,0.01036491365074781
2003-11-29,1910697704.1614964,1352667432.012058,19361000.0,0.9329578633601057,0.6604821445371377,0.009405469309717302
2003-11-30,2293917437.9690037,1642040335.7304125,19477002.0,1.1200768740083025,0.8017775076808654,0.009461822455260706
2003-12-01,1828591461.7811584,1306306820.1948612,17920002.0,0.8928669246978312,0.637845127048272,0.008705440258306527
2003-12-02,1697595714.347344,1109559550.7893407,20587000.0,0.8289041573961641,0.5417771244088578,0.010001053493060798
2003-12-03,1781319294.660628,1143150509.889886,244893000.0,0.8697848118460098,0.5581789599071708,0.11896769772556166
2003-12-04,1252823326.5656133,867115765.6508944,237124000.0,0.6117301399246159,0.4233963699467258,0.11519355945443963
2003-12-05,1388958586.118445,842926548.0597599,194740000.0,0.6782024346281469,0.4115852285448046,0.0946036409986234
2003-12-06,946571042.8046577,625387293.5144647,184300020.0,0.4621928919944618,0.30536488941135975,0.08953195505863773
2003-12-07,1931101980.1593962,1190145333.0666442,181572020.0,0.9429208887497051,0.5811256509114474,0.08820670738150799
2003-12-08,2203368382.957884,1342040530.296304,222892020.0,1.0758634682411543,0.6552932276837422,0.10827974037967539
2003-12-09,1088477017.323075,713770820.9371912,220419000.0,0.5314829186147827,0.3485209086607379,0.10707836061043222
2003-12-10,1773462944.2750998,1053557430.0740135,200686000.0,0.865948703259326,0.5144323389033268,0.09749217570837904
2003-12-11,1110754763.060266,641637142.2487082,62086010.0,0.5423607241505205,0.3132993858636271,0.030161048583120784
2003-12-12,2060459978.2083526,1916783510.088069,54726004.0,1.006083973734547,0.9359294482851899,0.02658559738987998
2003-12-13,2824437516.3752036,2811980777.3154287,70385000.0,1.37911988104258,1.3730374889235493,0.0341926531359151
2003-12-14,516572522.1701054,575788786.6120706,79157000.0,0.25223267684087175,0.2811468684629251,0.03845404339389972
2003-12-15,1676956367.9086504,1824246328.283304,76263000.0,0.8188263515178957,0.890745277482082,0.03704815381266312
2003-12-17,1317927468.0452797,1430291809.0342646,62335004.0,0.6435192715064842,0.698384672380012,0.03028200852451347
2003-12-18,1493763959.6222453,1581041721.8799453,70102010.0,0.7293769334092994,0.771993028261692,0.034055178121197016
2003-12-19,1173541400.2194178,1251570230.7274554,3267000.2,0.5730182618258876,0.6111182767223903,0.0015870910653344502
2003-12-20,1549119992.535067,1616189113.6879244,3480000.2,0.7564062463550132,0.7891548406679318,0.001690565315784829
2003-12-21,2031630487.3594837,2066108584.4868174,3408000.0,0.992007073905998,1.0088420822689539,0.001655588007206062
2003-12-22,1082902011.8877623,1054973745.3467513,2471000.2,0.5287607479920714,0.5151238990950934,0.0012003985613039264
2003-12-23,1519239585.9296365,1512624256.848802,2648000.2,0.7418162040672053,0.7385860629144542,0.001286384206044382
2003-12-24,1159372901.990551,1159084310.9741383,2648000.2,0.5661000498000738,0.565959136217841,0.001286384206044382
2003-12-25,1590763602.320261,1541638023.2293305,2702000.2,0.77674004019544,0.7527529410299465,0.0013126171146092668
2003-12-26,1393333565.4757266,1278320404.631857,2084000.0,0.6803386550174446,0.6241798850741489,0.0010123959527633313
2003-12-27,2403192544.4647884,2303431002.9631453,55479004.0,1.1734338596019476,1.1247221694155982,0.026951400725979208
2003-12-28,1480091968.2633698,1379859360.3710809,61698004.0,0.7227011563785986,0.6737594533061918,0.029972557362368438
2003-12-29,1247451452.4018598,1180038000.5238261,57556000.0,0.6091071544930956,0.5761904299432745,0.027960394173342753
2003-12-30,1691579630.4162383,1545046507.2684326,54865004.0,0.8259666164141789,0.7544172398771644,0.026653122839704408
2003-12-31,1834603570.375352,1644659930.4079049,71953000.0,0.8958025245973398,0.8030566066444847,0.03495437907350287
2004-01-01,930350329.1849623,772239460.2728044,0.0,0.45427262167234483,0.3770700489613303,0.0
2004-01-02,1849035730.1748009,1539378680.9759097,0.0,0.9028494776244145,0.7516497465702684,0.0
2004-01-03,1317127846.1410308,1052044494.8089259,0.0,0.6431288311235502,0.5136936009809209,0.0
2004-01-04,949245348.4165739,836876402.7772744,0.0,0.4634987052815302,0.408631056043591,0.0
2004-01-05,1000050965.6417785,894700800.9726887,0.0,0.48830613556727465,0.4368656254749456,0.0
2004-01-06,725311699.198532,644953411.0530936,0.0,0.3541561031242832,0.3149186577407683,0.0
2004-01-07,766350580.7499039,653268482.4780078,0.0,0.374194619506789,0.3189787512099647,0.0
2004-01-08,1134672407.9409056,942557278.7392473,0.0,0.5540392616898953,0.4602330462593981,0.0
2004-01-09,797928681.9045677,658000647.4604332,11396000.0,0.3896136142112147,0.32128937864278967,0.005536115296396796
2004-01-10,805922404.2090266,653660631.3834339,10764000.0,0.39351679893018876,0.31917023016769236,0.0052290931072670336
2004-01-11,1246618379.7825541,974735110.5343441,12762000.0,0.6087003807532003,0.4759448781905977,0.006199710724167771
2004-01-12,1261771510.2440248,983281789.0837308,11441000.0,0.6160993702363402,0.48011806107604044,0.005557976053534201
2004-01-13,2914047514.9883204,2844368823.39039,11403000.0,1.4228747631778909,1.3888519645460888,0.0055395158586181706
2004-01-14,973786282.8910993,845538395.2445962,11996001.0,0.4754815834429196,0.4128605445530255,0.0058275925440234525
2004-01-15,1088672616.4555812,921740242.1214885,9946001.0,0.5315784260037018,0.45006847759838303,0.004831713607763938
2004-01-16,3776839016.1613626,3688765690.1751795,10817000.0,1.8441596758600403,1.8011551221558493,0.005254840221228865
2004-01-17,3938376228.262024,3796494642.051883,243757000.0,1.9230352677060665,1.853757149439396,0.11841583505649297
2004-01-18,5111351601.842214,5622383948.670065,217130000.0,2.495777149337018,2.7453046624365554,0.1054805821609895
2004-01-19,899135604.0905769,1186358741.6530228,264771020.0,0.439031056684852,0.579276729322765,0.12862433256094963
2004-01-20,1067114698.9190766,1354146882.0848062,272900030.0,0.5210520990815803,0.6612045322679718,0.13257336174711695
2004-01-21,1052392277.5050433,1237456447.7598822,220681010.0,0.5138634167505094,0.604226781132755,0.10720564365437824
2004-01-22,1071818716.5666144,1272518105.9330392,307390000.0,0.5233489826985421,0.6213467314126168,0.14932840303259137
2004-01-23,1199101758.084183,1418954249.000624,193330000.0,0.5854989053145425,0.692848754394836,0.09391867060831806
2004-01-24,659283393.1977471,654847265.7944138,227004020.0,0.3219157193348375,0.3197496415011786,0.11027732778743106
2004-01-25,2918938804.2072473,2977500780.7467117,1522532100.0,1.42526308799182,1.4538578030989804,0.7396378771555929
2004-01-26,1081368027.7466903,1513442862.1131098,1765827100.0,0.5280117322981887,0.7389857725161669,0.8578292751054752
