time,spatial_ref,ET_mm_day
2003-10-01,0,2.4733024
2003-10-02,0,2.5233808
2003-10-02,0,2.5233808
2003-10-03,0,2.2245204
2003-10-03,0,2.2245204
2003-10-04,0,2.4624052
2003-10-04,0,2.4624052
2003-10-05,0,2.3343222
2003-10-05,0,2.3343222
2003-10-06,0,2.1031806
2003-10-06,0,2.1031806
2003-10-07,0,1.9039184
2003-10-07,0,1.9039184
2003-10-08,0,1.7477624
2003-10-08,0,1.7477624
2003-10-09,0,1.6612723
2003-10-09,0,1.6612723
2003-10-10,0,1.5415154
2003-10-10,0,1.5415154
2003-10-11,0,1.6344732
2003-10-11,0,1.6344732
2003-10-12,0,1.8738332
2003-10-14,0,1.8216087
2003-10-15,0,1.5671619
2003-10-15,0,1.5671619
2003-10-16,0,0.014167477
2003-10-16,0,0.014167477
2003-10-17,0,0.015601858
2003-10-17,0,0.015601858
2003-10-18,0,0.015862571
2003-10-18,0,0.015862571
2003-10-19,0,0.013760054
2003-10-19,0,0.013760054
2003-10-20,0,0.013899691
2003-10-20,0,0.013899691
2003-10-21,0,0.013486523
2003-10-21,0,0.013486523
2003-10-22,0,0.01351127
2003-10-22,0,0.01351127
2003-10-23,0,0.012301812
2003-10-23,0,0.012301812
2003-10-24,0,0.010954928
2003-10-24,0,0.010954928
2003-10-25,0,0.0103614675
2003-10-25,0,0.0103614675
2003-10-26,0,0.008288996
2003-10-26,0,0.008288996
2003-10-27,0,0.008288996
2003-10-27,0,0.008288996
2003-10-28,0,0.008288996
2003-10-28,0,0.008288996
2003-10-29,0,0.009177199
2003-10-29,0,0.009177199
2003-10-30,0,0.010855502
2003-11-01,0,0.013229343
2003-11-02,0,0.011346444
2003-11-02,0,0.011346444
2003-11-03,0,0.012938579
2003-11-03,0,0.012938579
2003-11-04,0,0.013526735
2003-11-04,0,0.013526735
2003-11-05,0,0.009755635
2003-11-05,0,0.009755635
2003-11-06,0,0.011441451
2003-11-08,0,0.011542643
2003-11-09,0,0.26871675
2003-11-09,0,0.26871675
2003-11-10,0,0.26971322
2003-11-10,0,0.26971322
2003-11-11,0,0.26824704
2003-11-11,0,0.26824704
2003-11-12,0,0.22294919
2003-11-12,0,0.22294919
2003-11-13,0,0.22845826
2003-11-13,0,0.22845826
2003-11-14,0,0.25334823
2003-11-14,0,0.25334823
2003-11-15,0,0.2496465
2003-11-15,0,0.2496465
2003-11-16,0,0.19857624
2003-11-16,0,0.19857624
2003-11-17,0,0.50436145
2003-11-17,0,0.50436145
2003-11-18,0,0.5690075
2003-11-18,0,0.5690075
2003-11-19,0,0.5951476
2003-11-19,0,0.5951476
2003-11-20,0,0.6076973
2003-11-20,0,0.6076973
2003-11-21,0,0.50464696
2003-11-21,0,0.50464696
2003-11-22,0,0.4175073
2003-11-22,0,0.4175073
2003-11-23,0,0.513905
2003-11-23,0,0.513905
2003-11-24,0,0.55532086
2003-11-24,0,0.55532086
2003-11-25,0,0.009940345
2003-11-25,0,0.009940345
2003-11-26,0,0.009821034
2003-11-26,0,0.009821034
2003-11-27,0,0.008708353
2003-11-27,0,0.008708353
2003-11-28,0,0.009428193
2003-11-28,0,0.009428193
2003-11-29,0,0.008555457
2003-11-29,0,0.008555457
2003-11-30,0,0.008606717
2003-11-30,0,0.008606717
2003-12-01,0,0.007918693
2003-12-01,0,0.007918693
2003-12-02,0,0.009097216
2003-12-02,0,0.009097216
2003-12-03,0,0.108216085
2003-12-03,0,0.108216085
2003-12-04,0,0.10478303
2003-12-04,0,0.10478303
2003-12-05,0,0.086053915
2003-12-05,0,0.086053915
2003-12-06,0,0.081440575
2003-12-06,0,0.081440575
2003-12-07,0,0.080235094
2003-12-07,0,0.080235094
2003-12-08,0,0.09849404
2003-12-08,0,0.09849404
2003-12-09,0,0.09740124
2003-12-09,0,0.09740124
2003-12-10,0,0.0886814
2003-12-10,0,0.0886814
2003-12-11,0,0.027435265
2003-12-11,0,0.027435265
2003-12-12,0,0.024182945
2003-12-12,0,0.024182945
2003-12-13,0,0.03110252
2003-12-13,0,0.03110252
2003-12-14,0,0.03497879
2003-12-14,0,0.03497879
2003-12-15,0,0.033699956
2003-12-17,0,0.027545296
2003-12-18,0,0.030977465
2003-12-18,0,0.030977465
2003-12-19,0,0.001443659
2003-12-19,0,0.001443659
2003-12-20,0,0.0015377818
2003-12-20,0,0.0015377818
2003-12-21,0,0.0015059655
2003-12-21,0,0.0015059655
2003-12-22,0,0.0010919134
2003-12-22,0,0.0010919134
2003-12-23,0,0.0011701282
2003-12-23,0,0.0011701282
2003-12-24,0,0.0011701282
2003-12-24,0,0.0011701282
2003-12-25,0,0.0011939903
2003-12-25,0,0.0011939903
2003-12-26,0,0.0009209015
2003-12-26,0,0.0009209015
2003-12-27,0,0.024515688
2003-12-27,0,0.024515688
2003-12-28,0,0.02726381
2003-12-28,0,0.02726381
2003-12-29,0,0.025433496
2003-12-29,0,0.025433496
2003-12-30,0,0.024244368
2003-12-30,0,0.024244368
2003-12-31,0,0.031795405
2003-12-31,0,0.031795405
2004-01-01,0,0.0
2004-01-01,0,0.0
2004-01-02,0,0.0
2004-01-02,0,0.0
2004-01-03,0,0.0
2004-01-03,0,0.0
2004-01-04,0,0.0
2004-01-04,0,0.0
2004-01-05,0,0.0
2004-01-05,0,0.0
2004-01-06,0,0.0
2004-01-06,0,0.0
2004-01-07,0,0.0
2004-01-07,0,0.0
2004-01-08,0,0.0
2004-01-08,0,0.0
2004-01-09,0,0.005035793
2004-01-09,0,0.005035793
2004-01-10,0,0.0047565177
2004-01-10,0,0.0047565177
2004-01-11,0,0.0056394166
2004-01-11,0,0.0056394166
2004-01-12,0,0.005055678
2004-01-12,0,0.005055678
2004-01-13,0,0.0050388863
2004-01-13,0,0.0050388863
2004-01-14,0,0.0053009284
2004-01-14,0,0.0053009284
2004-01-15,0,0.0043950514
2004-01-15,0,0.0043950514
2004-01-16,0,0.004779938
2004-01-16,0,0.004779938
2004-01-17,0,0.1077141
2004-01-17,0,0.1077141
2004-01-18,0,0.09594786
2004-01-18,0,0.09594786
2004-01-19,0,0.11700001
2004-01-19,0,0.11700001
2004-01-20,0,0.12059215
2004-01-20,0,0.12059215
2004-01-21,0,0.09751702
2004-01-21,0,0.09751702
2004-01-22,0,0.13583297
2004-01-22,0,0.13583297
2004-01-23,0,0.085430846
2004-01-23,0,0.085430846
2004-01-24,0,0.1003111
2004-01-24,0,0.1003111
2004-01-25,0,0.6727937
2004-01-25,0,0.6727937
2004-01-26,0,0.78030366
2004-01-26,0,0.78030366
2004-01-27,0,0.7680235
2004-01-27,0,0.7680235
2004-01-28,0,0.78387934
2004-01-28,0,0.78387934
2004-01-29,0,0.6229687
2004-01-29,0,0.6229687
2004-01-30,0,0.7179271
2004-01-30,0,0.7179271
2004-01-31,0,0.5876633
2004-01-31,0,0.5876633
2004-02-01,0,0.50387144
2004-02-01,0,0.50387144
2004-02-02,0,0.04367477
2004-02-02,0,0.04367477
2004-02-03,0,0.053965535
