time,spatial_ref,ET_m3_day
2003-10-01,0,5597083000.0
2003-10-02,0,5710411000.0
2003-10-03,0,5034090000.0
2003-10-04,0,5572423000.0
2003-10-05,0,5282571300.0
2003-10-06,0,4759498000.0
2003-10-07,0,4308567600.0
2003-10-08,0,3955186200.0
2003-10-09,0,3759459300.0
2003-10-10,0,3488449300.0
2003-10-11,0,3698813000.0
2003-10-12,0,4240484600.0
2003-10-14,0,4122300200.0
2003-10-15,0,3546487300.0
2003-10-16,0,32061000.0
2003-10-17,0,35307004.0
2003-10-18,0,35897000.0
2003-10-19,0,31139002.0
2003-10-20,0,31455002.0
2003-10-21,0,30520002.0
2003-10-22,0,30576004.0
2003-10-23,0,27839000.0
2003-10-24,0,24791002.0
2003-10-25,0,23448000.0
2003-10-26,0,18758000.0
2003-10-27,0,18758000.0
2003-10-28,0,18758000.0
2003-10-29,0,20768002.0
2003-10-30,0,24566002.0
2003-11-01,0,29938004.0
2003-11-02,0,25677002.0
2003-11-03,0,29280002.0
2003-11-04,0,30611002.0
2003-11-05,0,22077002.0
2003-11-06,0,25892002.0
2003-11-08,0,26121002.0
2003-11-09,0,608106000.0
2003-11-10,0,610361000.0
2003-11-11,0,607043000.0
2003-11-12,0,504534000.0
2003-11-13,0,517001020.0
2003-11-14,0,573327000.0
2003-11-15,0,564950000.0
2003-11-16,0,449378020.0
2003-11-17,0,1141370000.0
2003-11-18,0,1287664000.0
2003-11-19,0,1346819100.0
2003-11-20,0,1375219000.0
2003-11-21,0,1142016100.0
2003-11-22,0,944819000.0
2003-11-23,0,1162967000.0
2003-11-24,0,1256691000.0
2003-11-25,0,22495000.0
2003-11-26,0,22225000.0
2003-11-27,0,19707002.0
2003-11-28,0,21336000.0
2003-11-29,0,19361000.0
2003-11-30,0,19477002.0
2003-12-01,0,17920002.0
2003-12-02,0,20587000.0
2003-12-03,0,244893000.0
2003-12-04,0,237124000.0
2003-12-05,0,194740000.0
2003-12-06,0,184300020.0
2003-12-07,0,181572020.0
2003-12-08,0,222892020.0
2003-12-09,0,220419000.0
2003-12-10,0,200686000.0
2003-12-11,0,62086010.0
2003-12-12,0,54726004.0
2003-12-13,0,70385000.0
2003-12-14,0,79157000.0
2003-12-15,0,76263000.0
2003-12-17,0,62335004.0
2003-12-18,0,70102010.0
2003-12-19,0,3267000.2
2003-12-20,0,3480000.2
2003-12-21,0,3408000.0
2003-12-22,0,2471000.2
2003-12-23,0,2648000.2
2003-12-24,0,2648000.2
2003-12-25,0,2702000.2
2003-12-26,0,2084000.0
2003-12-27,0,55479004.0
2003-12-28,0,61698004.0
2003-12-29,0,57556000.0
2003-12-30,0,54865004.0
2003-12-31,0,71953000.0
2004-01-01,0,0.0
2004-01-02,0,0.0
2004-01-03,0,0.0
2004-01-04,0,0.0
2004-01-05,0,0.0
2004-01-06,0,0.0
2004-01-07,0,0.0
2004-01-08,0,0.0
2004-01-09,0,11396000.0
2004-01-10,0,10764000.0
2004-01-11,0,12762000.0
2004-01-12,0,11441000.0
2004-01-13,0,11403000.0
2004-01-14,0,11996001.0
2004-01-15,0,9946001.0
2004-01-16,0,10817000.0
2004-01-17,0,243757000.0
2004-01-18,0,217130000.0
2004-01-19,0,264771020.0
2004-01-20,0,272900030.0
2004-01-21,0,220681010.0
2004-01-22,0,307390000.0
2004-01-23,0,193330000.0
2004-01-24,0,227004020.0
2004-01-25,0,1522532100.0
2004-01-26,0,1765827100.0
2004-01-27,0,1738037100.0
2004-01-28,0,1773919000.0
2004-01-29,0,1409778200.0
2004-01-30,0,1624669200.0
2004-01-31,0,1329882100.0
2004-02-01,0,1140261100.0
2004-02-02,0,98836010.0
2004-02-03,0,122124010.0
2004-02-04,0,84515000.0
2004-02-05,0,112734010.0
