time,spatial_ref,ET_m_day
2003-10-01,0,2.7190328
2003-10-02,0,2.7740867
2003-10-03,0,2.4455338
2003-10-04,0,2.707053
2003-10-05,0,2.5662446
2003-10-06,0,2.3121386
2003-10-07,0,2.0930789
2003-10-08,0,1.9214082
2003-10-09,0,1.8263249
2003-10-10,0,1.6946698
2003-10-11,0,1.7968633
2003-10-12,0,2.0600045
2003-10-14,0,2.0025911
2003-10-15,0,1.7228644
2003-10-16,0,0.015575061
2003-10-17,0,0.017151952
2003-10-18,0,0.017438568
2003-10-19,0,0.015127159
2003-10-20,0,0.0152806705
2003-10-21,0,0.014826452
2003-10-22,0,0.014853657
2003-10-23,0,0.013524036
2003-10-24,0,0.0120433355
2003-10-25,0,0.011390911
2003-10-26,0,0.009112535
2003-10-27,0,0.009112535
2003-10-28,0,0.009112535
2003-10-29,0,0.010088983
2003-10-30,0,0.011934031
2003-11-01,0,0.0145437205
2003-11-02,0,0.012473749
2003-11-03,0,0.014224067
2003-11-04,0,0.014870659
2003-11-05,0,0.010724888
2003-11-06,0,0.012578195
2003-11-08,0,0.012689441
2003-11-09,0,0.29541463
2003-11-10,0,0.2965101
2003-11-11,0,0.2948982
2003-11-12,0,0.2450999
2003-11-13,0,0.2511563
2003-11-14,0,0.27851918
2003-11-15,0,0.27444968
2003-11-16,0,0.21830541
2003-11-17,0,0.5544714
2003-11-18,0,0.62554026
2003-11-19,0,0.65427744
2003-11-20,0,0.66807395
2003-11-21,0,0.55478525
2003-11-22,0,0.45898798
2003-11-23,0,0.5649631
2003-11-24,0,0.6104937
2003-11-25,0,0.01092795
2003-11-26,0,0.010796785
2003-11-27,0,0.009573556
2003-11-28,0,0.010364913
2003-11-29,0,0.0094054695
2003-11-30,0,0.009461822
2003-12-01,0,0.00870544
2003-12-02,0,0.010001053
2003-12-03,0,0.1189677
2003-12-04,0,0.11519355
2003-12-05,0,0.09460364
2003-12-06,0,0.08953195
2003-12-07,0,0.08820671
2003-12-08,0,0.108279735
2003-12-09,0,0.107078366
2003-12-10,0,0.09749218
2003-12-11,0,0.030161047
2003-12-12,0,0.026585598
2003-12-13,0,0.034192655
2003-12-14,0,0.03845404
2003-12-15,0,0.037048154
2003-12-17,0,0.030282008
2003-12-18,0,0.034055177
2003-12-19,0,0.001587091
2003-12-20,0,0.0016905654
2003-12-21,0,0.001655588
2003-12-22,0,0.0012003985
2003-12-23,0,0.0012863842
2003-12-24,0,0.0012863842
2003-12-25,0,0.0013126171
2003-12-26,0,0.001012396
2003-12-27,0,0.0269514
2003-12-28,0,0.029972559
2003-12-29,0,0.027960394
2003-12-30,0,0.026653124
2003-12-31,0,0.03495438
2004-01-01,0,0.0
2004-01-02,0,0.0
2004-01-03,0,0.0
2004-01-04,0,0.0
2004-01-05,0,0.0
2004-01-06,0,0.0
2004-01-07,0,0.0
2004-01-08,0,0.0
2004-01-09,0,0.0055361153
2004-01-10,0,0.005229093
2004-01-11,0,0.0061997105
2004-01-12,0,0.005557976
2004-01-13,0,0.005539516
2004-01-14,0,0.0058275927
2004-01-15,0,0.0048317136
2004-01-16,0,0.0052548405
2004-01-17,0,0.11841583
2004-01-18,0,0.10548058
2004-01-19,0,0.12862433
2004-01-20,0,0.13257335
2004-01-21,0,0.107205644
2004-01-22,0,0.14932841
2004-01-23,0,0.09391867
2004-01-24,0,0.110277325
2004-01-25,0,0.73963785
2004-01-26,0,0.8578293
2004-01-27,0,0.84432906
2004-01-28,0,0.86176026
2004-01-29,0,0.68486255
2004-01-30,0,0.78925544
2004-01-31,0,0.64604956
2004-02-01,0,0.55393267
2004-02-02,0,0.048013996
2004-02-03,0,0.059327185
2004-02-04,0,0.04105693
2004-02-05,0,0.05476557
2004-02-06,0,0.053190626
2004-02-07,0,0.045938198
2004-02-08,0,0.052392464
